OID_,Id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,loc_type,parent_sta,timezone,wheelchair,count,coord_x,coord_y,dist_ctr
1,0,1,1000,Washington + Washtenaw, ,42.243712000000002,-83.614653000000004, , , , , ,1,1,284281.879900000058115,4680145.212300000712276,10482.826323661935021
2,0,2,1001,Michigan + Huron, ,42.241022999999998,-83.612350000000006, , , , , ,1,1,284462.739699999801815,4679840.781700000166893,10774.354150578266854
3,0,3,1002,Michigan + River, ,42.241013000000002,-83.608362000000000, , , , , ,2,1,284791.766400000080466,4679829.585999999195337,11077.509239853403415
4,0,4,1004,S - Michigan west of Prospect, ,42.241053000000001,-83.602525000000000, , , , , ,2,1,285273.528699999675155,4679819.294399999082088,11521.524992556245707
5,0,7,1009,Emerick + Service Dr, ,42.230035000000001,-83.596928000000005, , , , , ,1,1,285698.050599999725819,4678581.708699999377131,12443.668552264876780
6,0,8,1011,Service Dr + Coleman, ,42.231074999999997,-83.593534000000005, , , , , ,2,1,285981.663099999539554,4678688.662000000476837,12645.689861711151025
7,0,9,1012,Service Dr. + Georgiana, ,42.231105999999997,-83.591192000000007, , , , , ,2,1,286175.042700000107288,4678686.222799999639392,12819.346230107843439
8,0,10,1013,Service Dr. + Gault, ,42.231144000000000,-83.587643000000000, , , , , ,2,1,286468.053999999538064,4678681.539799999445677,13083.961903039002209
9,0,11,1014,Service Dr. + Share, ,42.230097999999998,-83.583316999999994, , , , , ,1,1,286821.536799999885261,4678554.552200000733137,13457.339346138085602
10,0,12,1015,Foley + Harris, ,42.227046999999999,-83.582144999999997, , , , , ,1,1,286907.989400000311434,4678212.823499999940395,13687.080601499275872
11,0,13,1016,Foley + Gattegno, ,42.227083999999998,-83.578474999999997, , , , , ,1,1,287211.001699999906123,4678207.758500000461936,13959.911078377679587
12,0,14,1017,Foley + Harry, ,42.227938000000002,-83.575971999999993, , , , , ,1,1,287420.443400000222027,4678296.341299999505281,14108.902812178617751
