OID_,OBJECTID_1,OBJECTID,SignUp,Line,LineName,DirNum,Direction,StopID,StopName,Sequence,Lat,Lon
0,1,1,2011 August,12A,Miller/Liberty,0,Loop,998.120000000000005,BTC - 4th Ave (12s),1,42.278455999999998,-83.747353000000004
1,2,2,2011 August,12A,Miller/Liberty,0,Loop,1587.000000000000000,E- N Fourth Ave north of E Huron,2,42.281652999999999,-83.747196000000002
2,3,3,2011 August,12A,Miller/Liberty,0,Loop,1588.000000000000000,N- Catherine St. west of S.Fourth,3,42.283318000000001,-83.747489999999999
3,4,4,2011 August,12A,Miller/Liberty,0,Loop,1589.000000000000000,N- Miller Ave. west of Ashley,4,42.283360999999999,-83.750060000000005
4,5,5,2011 August,12A,Miller/Liberty,0,Loop,1590.000000000000000,N- Miller Ave. west of Spring St.,5,42.283889000000002,-83.752604000000005
5,6,6,2011 August,12A,Miller/Liberty,0,Loop,1591.000000000000000,N- Miller Ave. west of Miner St,6,42.285341000000003,-83.756377000000001
6,7,7,2011 August,12A,Miller/Liberty,0,Loop,1592.000000000000000,N- Miller Ave. east of Brooks,7,42.285957000000003,-83.757949999999994
7,8,8,2011 August,12A,Miller/Liberty,0,Loop,1593.000000000000000,N- Miller Ave. east of Red Oak,8,42.286983999999997,-83.760602000000006
8,9,9,2011 August,12A,Miller/Liberty,0,Loop,1594.000000000000000,N- Miller Ave. west of Pomona,9,42.288012000000002,-83.763266000000002
9,10,10,2011 August,12A,Miller/Liberty,0,Loop,1595.000000000000000,N- Miller Ave. west of Newport Rd.,10,42.289060999999997,-83.765859000000006
10,11,11,2011 August,12A,Miller/Liberty,0,Loop,1596.000000000000000,N- Miller Ave. west of Pinetree,11,42.289821000000003,-83.767854000000000
11,12,12,2011 August,12A,Miller/Liberty,0,Loop,1597.000000000000000,N- Miller Ave. west of Saunders Crs,12,42.291319000000001,-83.771713000000005
12,13,13,2011 August,12A,Miller/Liberty,0,Loop,1598.000000000000000,N- Miller Ave. west of Hatcher Cres,13,42.292808000000001,-83.775565000000000
13,14,14,2011 August,12A,Miller/Liberty,0,Loop,1599.000000000000000,N- Miller Ave. west of Fulmer,14,42.293607999999999,-83.777623000000006
14,15,15,2011 August,12A,Miller/Liberty,0,Loop,1600.000000000000000,W- N Maple south of Sequoia Park,15,42.292921000000000,-83.780806999999996
15,16,16,2011 August,12A,Miller/Liberty,0,Loop,1601.000000000000000,W- N Maple south of Pamela (Alan,16,42.289825000000000,-83.780709999999999
16,17,17,2011 August,12A,Miller/Liberty,0,Loop,1602.000000000000000,W.Maple north of Dexter,17,42.287272000000002,-83.780610999999993
17,18,18,2011 August,12A,Miller/Liberty,0,Loop,1603.000000000000000,W- N Maple south of Dexter Rd.,18,42.284936000000002,-83.780574000000001
18,19,19,2011 August,12A,Miller/Liberty,0,Loop,2700.000000000000000,W - N Maple at Maple Village,19,42.282730999999998,-83.780468999999997
