trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2515070,44,1,"44 Ecorse Tyler to West Willow",,1,9507,shp-44-02,1,1
3766070,32,1,"Miller - Maple to Pennsylvania & Maple",,1,4607,shp-32-55,1,1
1984010,22,2,"Pontiac - Dhu Varren to BTC",,0,501,shp-22-01,1,1
947070,23,1,"Plymouth to Blake Transit Ctr",,0,3307,shp-23-08,1,1
2741020,66,3,"Carpenter - Huron Pkwy to Pierpont Commons",,1,10402,shp-66-08,1,1
1748070,22,1,"Pontiac - Dhu Varren to Pierpont Commons",,1,407,shp-22-04,1,1
2234010,28,2,"28 Pauline to BTC",,0,2901,shp-28-10,1,1
3154020,30,3,"Jackson Rd to Meijer: Jackson Rd",,1,3502,shp-30-05,1,1
1193070,27,1,"W. Stadium - Oak Valley to Meijer",,1,3007,shp-27-52,1,1
4055020,47,3,"47 Harriet Michigan to YTC",,0,8102,shp-47-51,1,1
3255020,68,3,"Harris -Ford to Gault Village",,1,8102,shp-68-03,1,1
4170010,22,2,"Pontiac - Dhu Varren to BTC",,0,501,shp-22-01,1,1
1947020,104,3,"WASHTENAW EXPRESS TO BLAKE TRANSIT CENTER",,0,102,shp-104-02,1,1
1904020,31,3,"Dexter Ave to Blake Transit Ctr",,0,1102,shp-31-04,1,1
3837020,68,3,"Harris - Ford to Holmes & Ridge",,0,8202,shp-68-51,1,1
2733020,45,3,"Grove to Harry & Grove",,1,7402,shp-45-03,1,1
2076070,4,1,"Washtenaw to YTC",,1,5207,shp-4-55,1,1
2208070,3,1," Huron River to BTC",,0,4307,shp-3-03,1,1
2411070,28,1,"Pauline to Maple & Pennsylvania",,1,3207,shp-28-12,1,1
3649020,68,3,"Harris -Ford to Gault Village",,1,8102,shp-68-03,1,1
2885020,3,3," Huron River to YTC",,1,7402,shp-3-53,1,1
3916020,23,3,"Plymouth to Blake Transit Ctr",,0,2202,shp-23-06,1,1
3753020,62,3,"U-M - State St to Wolverine Tower",,0,12402,shp-62-54,1,1
406020,34,3,"Maple - Dexter to Miller Rd P&R",,1,5102,shp-34-51,1,1
3793020,22,3,"Pontiac - Dhu Varren to BTC",,0,3302,shp-22-01,1,1
950070,23,1,"Plymouth to Green Rd P&R",,1,3607,shp-23-61,1,1
1192010,45,2,"Grove to Ypsilanti Transit Ctr",,0,8701,shp-45-51,1,1
608010,3,2," Huron River to BTC",,0,9101,shp-3-03,1,1
3876020,5,3,"A Packard to BTC",,0,10502,shp-5-01,1,1
3705020,4,3,"Washtenaw to BTC",,0,5802,shp-4-06,1,1
1838020,4,3,"Washtenaw to YTC",,1,6802,shp-4-55,1,1
3043020,28,3,"Pauline to Maple & Pennsylvania",,1,1902,shp-28-12,1,1
598010,42,2,"Forest - MacArthur to MacArthur & Harris",,1,8301,shp-42-03,1,1
2947020,45,3,"Grove to Harry & Grove",,1,6902,shp-45-03,1,1
679070,46,1,"Paint Creek to Ypsilanti Transit Ctr",,0,9207,shp-46-51,1,1
2366020,4,3,"Washtenaw to YTC",,1,6602,shp-4-55,1,1
2464020,31,3,"Dexter Ave to Jackson & Wagnor",,1,1102,shp-31-51,1,1
3341070,22,1,"Pontiac - Dhu Varren to BTC",,0,407,shp-22-01,1,1
3258070,32,1,"Miller - Maple to Blake Transit Ctr",,0,4607,shp-32-06,1,1
379020,62,3,"U-M - State St to Wolverine Tower",,0,12402,shp-62-54,1,1
321070,43,1,"E Michigan Ave to Holmes & Ridge",,1,8007,shp-43-02,1,1
3843070,25,1,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,2907,shp-25-09,1,1
2121020,47,3,"47 Harriet Michigan to Hewistt & Ellsworth",,1,8102,shp-47-02,1,1
2364020,4,3,"Washtenaw to YTC",,1,5802,shp-4-55,1,1
1765020,62,3,"U-M - State St to Central Campus Transit Ctr",,1,12402,shp-62-07,1,1
3660070,44,1,"44 Ecorse Tyler to YTC",,0,9307,shp-44-52,1,1
1472010,45,2,"Grove to Harry & Grove",,1,8701,shp-45-03,1,1
1863020,46,3,"Paint Creek to Ypsilanti Transit Ctr",,0,7202,shp-46-51,1,1
275010,46,2,"Huron Paint Creek to Huron River + Textile",,1,8601,shp-46-02,1,1
2935020,23,3,"Plymouth to Green Rd P&R",,1,2802,shp-23-59,1,1
2182020,3,3," Huron River to BTC",,0,7702,shp-3-03,1,1
1932010,4,2,"Washtenaw to BTC",,0,5401,shp-4-06,1,1
1587070,42,1,"Forest - MacArthur to MacArthur & Harris",,1,9407,shp-42-03,1,1
903020,32,3,"Miller - Maple to Pennsylvania & Maple",,1,1402,shp-32-55,1,1
2508020,44,3,"44 Ecorse Tyler to West Willow",,1,7802,shp-44-02,1,1
687020,104,3,"WASHTENAW EXPRESS TO YPSILANTI CENTER",,1,202,shp-104-52,1,1
1709020,63,3,"U-M - Pontiac to Central Campus Transit Center",,0,13202,shp-63-05,1,1
3177020,23,3,"Plymouth to Plymouth Rd P&R",,1,2202,shp-23-60,1,1
2033070,26,1,"Scio Church to BTC",,0,4907,shp-26-01,1,1
2127010,5,2,"Packard to Meijer: Carpenter Rd",,1,10201,shp-5-08,1,1
2574020,67,3,"EISENHOWER-GOLFSIDE TO WCC",,1,11502,shp-67-04,1,1
3890020,4,3,"Washtenaw to BTC",,0,5302,shp-4-06,1,1
134020,4,3,"Washtenaw to BTC",,0,6802,shp-4-06,1,1
2070070,28,1,"28 Pauline to BTC",,0,2907,shp-28-10,1,1
438020,46,3,"Huron Paint Creek to Huron River + Textile",,1,7002,shp-46-02,1,1
2916010,67,2,"EISENHOWER-GOLFSIDE TO TRINITY HEALTH AA",,1,13701,shp-67-05,1,1
1210070,27,1,"W. Stadium - Oak Valley to Meijer",,1,3007,shp-27-52,1,1
2770020,4,3,"Washtenaw to YTC",,1,6002,shp-4-55,1,1
3136020,32,3,"Miller - Maple to Blake Transit Ctr",,0,1402,shp-32-06,1,1
317020,62,3,"62 UM State to CCTC",,1,12702,shp-62-06,1,1
1457020,4,3,"Washtenaw to BTC",,0,5402,shp-4-06,1,1
1377010,3,2," Huron River to YTC",,1,9101,shp-3-53,1,1
47020,44,3,"44 Ecorse Tyler to YTC",,0,7802,shp-44-52,1,1
3328020,104,3,"WASHTENAW EXPRESS TO YPSILANTI CENTER",,1,202,shp-104-52,1,1
2212020,5,3,"Packard to Ypsilanti Transit Ctr",,1,10302,shp-5-07,1,1
658070,6,1,"Ellsworth to Ypsilanti Transit Center",,1,11407,shp-6-51,1,1
4059020,32,3,"Miller - Maple to Blake Transit Ctr",,0,602,shp-32-07,1,1
4252020,27,3,"W. Stadium - Oak Valley to Meijer",,1,2602,shp-27-52,1,1
1272070,29,1,"Liberty to Blake Transit Ctr",,0,4707,shp-29-01,1,1
3395020,31,3,"Dexter Ave to Jackson & Wagnor",,1,602,shp-31-51,1,1
1771020,28,3,"28 Pauline to BTC",,0,1902,shp-28-10,1,1
1685070,47,1,"47 Harriet Michigan to Hewistt & Ellsworth",,1,8007,shp-47-02,1,1
2591010,45,2,"Grove to Harry & Grove",,1,8601,shp-45-03,1,1
4300020,25,3,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,2702,shp-25-09,1,1
3922020,67,3,"EISENHOWER-GOLFSIDE TO TRINITY HEALTH AA",,1,11602,shp-67-05,1,1
