"w_geocode","h_geocode","S000","SA01","SA02","SA03","SE01","SE02","SE03","SI01","SI02","SI03","createdate","year","state"
"261614001001000","261614003003012",1,1,0,0,1,0,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614004002013",1,0,1,0,1,0,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614006005007",1,0,1,0,0,1,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614007001010",1,0,1,0,0,1,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614007001011",1,1,0,0,0,1,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614007002022",1,0,1,0,1,0,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614007003003",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001000","261614032001010",1,0,1,0,0,0,1,0,1,0,"20231016",2021,"MI"
"261614001001000","261614033003008",1,0,1,0,0,1,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614035001007",1,1,0,0,0,1,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614041001001",1,0,1,0,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001000","261614041001004",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001000","261614041002005",1,0,1,0,0,0,1,0,1,0,"20231016",2021,"MI"
"261614001001000","261614045001013",1,0,1,0,1,0,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614052001001",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001000","261614053003002",1,0,1,0,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001000","261614054001002",1,0,0,1,0,1,0,0,1,0,"20231016",2021,"MI"
"261614001001000","261614055001010",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614003001001",1,1,0,0,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614003003001",1,1,0,0,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614004001002",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614004002005",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614004002014",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614004002015",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614005004001",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614005004005",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614005007002",1,1,0,0,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006001001",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006001004",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006001005",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006002004",1,0,0,1,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006002005",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006004002",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006004011",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006004012",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006005000",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006005004",2,0,1,1,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614006005006",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006005012",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614006006008",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007001005",1,1,0,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007001007",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007001010",2,0,2,0,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614007001011",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007001015",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007001016",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007002006",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007002022",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614007003000",2,1,1,0,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614008002004",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614021001001",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614021001007",1,1,0,0,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614021001008",2,0,1,1,0,1,1,0,1,1,"20231016",2021,"MI"
"261614001001001","261614021001011",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614021002001",1,0,1,0,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614021003010",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614023001011",2,0,0,2,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614023001019",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614025001008",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614027002006",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614027002008",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614027003000",1,1,0,0,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614027004007",1,0,0,1,1,0,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614031001017",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614032001007",2,0,2,0,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614032001024",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614032002000",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614032002002",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614032002008",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614032003002",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614032003013",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614032003014",1,0,0,1,0,1,0,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033001008",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033001020",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033001021",1,1,0,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033002000",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033002006",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033003012",2,0,1,1,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614033004005",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033004010",2,0,2,0,0,1,1,0,1,1,"20231016",2021,"MI"
"261614001001001","261614033004025",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614033004038",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614034001000",2,0,1,1,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614034002001",1,0,1,0,0,0,1,0,0,1,"20231016",2021,"MI"
"261614001001001","261614034002003",2,0,1,1,0,0,2,0,0,2,"20231016",2021,"MI"
"261614001001001","261614034003001",1,0,0,1,0,0,1,0,0,1,"20231016",2021,"MI"
