Id,Label,0,1,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
1,Washington + Washtenaw,-83.614655,42.243713,1,1,2,1,1,1,3.5,0,1,0,0,0.000298,21,0,0,0.053663,1,1,2
2,Michigan + Huron,-83.61235,42.241024,2,1,3,11,0.155172,0.245727,36,0,5,0,0,0.000325,4,0,0,0.01213,2,1,3
3,Michigan + River,-83.60836,42.241013,2,2,4,10,0.173469,0.298506,142,0,4,0,0,0.001385,24,0,0.083333,0.141729,2,2,4
4,S - Michigan west of Prospect,-83.602524,42.241055,1,1,2,10,0.17,0.240079,2004,0,4,0,0,0.001099,24,0,0,0.159234,1,1,2
7,Emerick + Service Dr,-83.596931,42.230034,2,2,4,30,0.071061,0.145523,4323,0,10,0,0,0.00179,0,0,0.083333,0.17098,2,2,4
8,Service Dr + Coleman,-83.593536,42.231075,1,1,2,38,0.046278,0.081644,1355,0,10,0,0,0.000951,0,0,0,0.127742,1,1,2
9,Service Dr. + Georgiana,-83.591194,42.231106,1,1,2,37,0.047883,0.083087,1283,0,10,0,0,0.000984,0,0,0,0.088516,1,1,2
10,Service Dr. + Gault,-83.587646,42.231144,1,1,2,36,0.049605,0.084691,1211,0,10,0,0,0.001012,0,0,0,0.063282,1,1,2
11,Service Dr. + Share,-83.583321,42.230099,1,1,2,35,0.051454,0.086484,1139,0,10,0,0,0.001036,0,0,0,0.050398,1,1,2
12,Foley + Harris,-83.582146,42.227047,1,1,2,34,0.053447,0.088507,1067,0,10,0,0,0.001056,0,0,0,0.045135,1,1,2
13,Foley + Gattegno,-83.578476,42.227085,1,1,2,33,0.0556,0.090812,995,0,10,0,0,0.001073,0,0,0,0.043379,1,1,2
14,Foley + Harry,-83.575974,42.22794,1,1,2,32,0.057935,0.093472,923,0,10,0,0,0.001088,0,0,0,0.042889,1,1,2
15,Harry + Heatherridge,-83.572838,42.225044,1,1,2,31,0.060473,0.096586,851,0,10,0,0,0.0011,0,0,0,0.042773,1,1,2
16,Harry + Grove,-83.572678,42.221554,1,1,2,30,0.063245,0.100304,779,0,10,0,0,0.001111,0,0,0,0.04275,1,1,2
17,Michigan + Grove,-83.60421,42.241199,3,2,5,9,0.197674,0.318114,2553,0,4,0,0,0.002173,24,0,0.05,0.207454,3,2,5
18,Michigan + Lincoln,-83.607071,42.241177,1,1,2,11,0.150442,0.240574,236,0,4,0,0,0.001099,24,0,0.5,0.159234,1,1,2
20,Ecorse + Harris,-83.583595,42.235069,1,1,2,27,0.074353,0.121041,4149,0,10,0,0,0.001155,24,0,0,0.052095,1,1,2
21,Ecorse + Glenwood,-83.587593,42.235161,1,2,3,26,0.079402,0.138695,4077,0,10,0,0,0.001157,24,0,0,0.045615,1,2,3
22,Ecorse + Redwood,-83.590508,42.235264,2,1,3,13,0.134078,0.198692,3301,0,6,0,0,0.001392,24,0,0,0.086354,2,1,3
23,Ecorse + Davis,-83.596642,42.236301,1,1,2,12,0.149068,0.215843,3177,0,6,0,0,0.001359,24,0,0,0.079616,1,1,2
24,MacArthur + Clark,-83.59407,42.261467,1,1,2,38,0.040245,0.067333,423,0,13,0,0,0.000707,24,0,0,0.043258,1,1,2
25,MacArthur + Heather,-83.592751,42.263863,1,1,2,37,0.041554,0.068443,490,0,13,0,0,0.000776,24,0,0,0.042865,1,1,2
26,MacArthur + Deering,-83.588684,42.267101,1,1,2,36,0.042951,0.069648,557,0,13,0,0,0.000835,24,0,0,0.042769,1,1,2
27,Wiard + Bazley,-83.573723,42.26635,1,1,2,32,0.049622,0.075767,825,0,13,0,0,0.000996,24,0,0,0.042745,1,1,2
28,Chidester + Catherine,-83.610718,42.235886,1,1,2,34,0.059117,0.107733,3742,0,15,0,0,0.000956,4,0,0,0.149632,1,1,2
30,W - Hamilton  south of Harriet,-83.617523,42.23325,1,1,2,37,0.058718,0.104248,100,0,18,0,0,0.000321,4,0,0,0.04184,1,1,2
31,Perry  + Harriet,-83.619415,42.233047,1,1,2,56,0.034698,0.054389,334,0,55,0,0,0.000321,4,0,0,0.04184,1,1,2
32,Monroe + Hawkins,-83.620285,42.231171,1,1,2,55,0.035737,0.05608,501,0,54,0,0,0.000449,4,0,0,0.04501,1,1,2
33,Hawkins + Jefferson,-83.619682,42.229523,1,1,2,54,0.036844,0.05801,666,0,53,0,0,0.000557,4,0,0,0.044474,1,1,2
34,Jefferson + First,-83.624519,42.228271,1,1,2,52,0.039298,0.062942,990,0,51,0,0,0.000727,4,0,0,0.043001,1,1,2
35,E - First north of Armstrong,-83.625732,42.230888,1,1,2,51,0.040662,0.066307,1149,0,50,0,0,0.000794,4,0,0,0.042813,1,1,2
36,E - Hewitt north of Ellsworth,-83.644119,42.230831,1,1,2,11,0.166667,0.274534,7026,0,35,0,0,0.00101,9,0,0,0.048635,1,1,2
37,E - Hewitt south of Glory,-83.644989,42.233028,1,1,2,10,0.181818,0.292897,6340,0,34,0,0,0.001034,9,0,0,0.044645,1,1,2
38,Congress + Hewitt,-83.645378,42.236046,1,1,2,9,0.2,0.31433,5652,0,33,0,0,0.001055,9,0,0,0.043263,1,1,2
39,S - Congress west of Merrill,-83.643257,42.236748,1,1,2,8,0.222222,0.339732,4962,0,32,0,0,0.001072,9,0,0,0.042866,1,1,2
40,S - Congress at Stevens,-83.639626,42.237965,1,1,2,7,0.25,0.370408,4270,0,31,0,0,0.001087,9,0,0,0.042769,1,1,2
41,Congress + Mansfield,-83.635658,42.239269,1,1,2,6,0.285714,0.408333,3576,0,30,0,0,0.001099,9,0,0,0.042749,1,1,2
42,Congress + Wallace,-83.632797,42.240192,1,1,2,5,0.333333,0.456667,2880,0,29,0,0,0.00111,9,0,0,0.042745,1,1,2
43,Congress + Oakwood,-83.629089,42.240925,1,1,2,4,0.4,0.520833,2182,0,28,0,0,0.001119,9,0,0,0.042745,1,1,2
44,Congress + Summit,-83.624397,42.240963,1,1,2,3,0.5,0.611111,1482,0,27,0,0,0.001127,9,0,0,0.042745,1,1,2
45,Dexter + Archwood,-83.78595,42.287426,1,1,2,86,0.021069,0.030276,3163,0,81,0,0,0.000654,18,1,0,0.042768,1,1,2
46,N - Dexter east of Barber,-83.791107,42.289284,1,1,2,85,0.021505,0.031759,3186,0,81,0,0,0.000732,18,1,0,0.042749,1,1,2
47,Dexter + Landings,-83.79467,42.290352,2,2,4,84,0.021959,0.034208,5891,0,81,0,0,0.001569,18,1,0,0.159747,2,2,4
48,Main + Fieldcrest,-83.749626,42.251415,1,2,3,72,0.032244,0.049967,43215,0,81,0,0,0.00086,20,2,0,0.11895,1,2,3
49,Oakbrook +  Main,-83.749825,42.246315,2,1,3,73,0.028144,0.043952,48937,0,81,0,0,0.001941,1,2,0,0.350703,2,1,3
50,Oakbrook + Northbrook,-83.754272,42.245953,2,2,4,72,0.028956,0.048828,62278,0,81,0,0,0.003039,1,2,0,0.352663,2,2,4
52,Eisenhower + Waymarket,-83.756454,42.244617,1,1,2,74,0.027384,0.041018,8321,0,81,0,0,0.000856,1,2,0,0.063657,1,1,2
53,Northbrook + Eisenhower,-83.756386,42.245255,2,1,3,73,0.028144,0.043952,12672,0,81,0,0,0.001428,1,2,0,0.227724,2,1,3
54,Blake Transit Center,-83.74736,42.2784,6,0,6,0,0,0,0,0,56,0,0,0.006726,23,1,0,1,6,0,6
55,Glen + Catherine,-83.735558,42.283394,1,1,2,53,0.040229,0.056351,7692.333333,0,81,0.030237,0,0.00034,15,4,0,0.165638,1,1,2
56,Fuller + Medical Center Dr,-83.731705,42.286465,1,1,2,52,0.041899,0.06072,7715.333333,0,81,0,0,0.000464,15,4,0,0.091864,1,1,2
57,Fuller + Maiden,-83.732903,42.286434,1,1,2,50,0.044561,0.066084,42566.5,0,81,0,0.170538,0.000653,15,4,0,0.092593,1,1,2
59,Glazier Way + UM Day Care Cent,-83.706863,42.287762,1,1,2,57,0.037602,0.054508,42468,0,81,0,0,0.001469,2,4,0,0.06305,1,1,2
60,Glazier Way + Huron,-83.707024,42.287731,1,1,2,65,0.032462,0.045026,10719,0,81,0,0,0.000846,2,4,0,0.136993,1,1,2
61,Huron + Division,-83.744728,42.281399,1,1,2,2,0.666667,0.75,429,0,62,0,0,0.00058,12,1,0,0.302624,1,1,2
62,S - Huron east of 5th,-83.745537,42.281303,4,2,6,49,0.04743,0.078,82733.166667,0,81,0,0,0.001157,12,1,0,0.184732,4,2,6
65,Michigan + Lemay,-83.575096,42.247509,1,1,2,9,0.180851,0.252988,252,0,4,0,0,0.000725,24,0,0,0.083073,1,1,2
70,Waters Rd. + Target drive,-83.769829,42.243095,2,2,4,78,0.024781,0.037863,6110,0,81,0,0,0.001528,1,2,0.083333,0.143631,2,2,4
71,S - Michigan east of Ellsworth,-83.635918,42.232094,1,1,2,52,0.038924,0.062565,826,0,48,0,0,0.000733,4,0,0,0.04288,1,1,2
72,Pauline + South Maple,-83.778694,42.265499,1,2,3,82,0.026202,0.046013,32245,0,81,0,0,0.001158,19,2,0,0.092697,1,2,3
73,Plaza + Briarwood Circle,-83.74382,42.24247,1,1,2,72,0.028856,0.044145,1243,0,81,0,0,0.001024,1,2,0,0.330592,1,1,2
74,Plaza + Briarwood Cir,-83.743515,42.242645,1,1,2,70,0.03003,0.046715,507.5,0,81,0,0,0.00062,1,2,0,0.108465,1,1,2
75,S- Williams at Railroad Crossing,-83.7509,42.277939,1,1,2,2,0.666667,0.75,662,0,76,0,0,0.001067,19,2,0,0.065714,1,1,2
76,Washtenaw + McKenny,-83.627632,42.246155,2,2,4,71,0.029295,0.046735,3841.5,0,83,0,0,0.000429,21,0,0,0.058572,2,2,4
77,Huron  + Ingalls,-83.738594,42.281342,3,1,4,49,0.046619,0.073133,130450.5,0,81,0.463244,0,0.001452,15,4,0.083333,0.643345,3,1,4
78,S - Huron  east of Ingalls,-83.738213,42.281216,1,3,4,51,0.046788,0.083121,63900,0,81,0,0.082136,0.00058,15,1,0.083333,0.302624,1,3,4
79,Ann + Zina Pitcher,-83.73336,42.282276,2,2,4,51,0.046589,0.080456,6717.5,0,81,0.096017,0.073992,0.00073,15,5,0.083333,0.389005,2,2,4
80,Broadway + Maiden Ln,-83.738022,42.29023,2,1,3,58,0.034943,0.04829,25904,0,81,0,0,0.000975,6,3,0,0.17477,2,1,3
81,Plymouth Brookside Apts,-83.732948,42.294666,1,1,2,57,0.036188,0.051153,25927,0,81,0,0,0.001004,6,3,0,0.122839,1,1,2
83,Plymouth + Barton,-83.73082,42.296215,1,2,3,53,0.040469,0.059348,39178.5,0,81,0,0,0.001018,6,3,0,0.071078,1,2,3
84,Plymouth + Murfin,-83.72081,42.297825,2,2,4,55,0.038965,0.059542,61131.5,0,81,0,0,0.001919,6,3,0,0.120928,2,2,4
86,Hamilton + Michigan,-83.617554,42.240231,2,1,3,58,0.041649,0.075929,305,0,85,0,0,0.000399,21,0,0,0.01213,2,1,3
87,Hamilton St. + Catherine,-83.6175,42.237236,1,3,4,57,0.043242,0.088114,502,0,84,0,0,0.000515,4,0,0,0.030321,1,3,4
88,Sunset + Pomona,-83.76152,42.297535,1,2,3,11,0.189189,0.299813,8867,0,70,0,0,0.000981,13,3,0,0.069569,1,2,3
89,Eisenhower + Signature,-83.752563,42.243706,2,2,4,71,0.029269,0.04683,5436,0,81,0,0,0.001234,1,2,0,0.313732,2,2,4
90,Michigan Ave. + Meadow Woods Blvd,-83.635956,42.232224,1,1,2,47,0.04124,0.067784,2072,0,48,0,0,0.001114,4,0,0,0.058953,1,1,2
91,Jackson + Wagner Rd,-83.798843,42.28492,3,3,6,84,0.021974,0.036317,20040,0,81,0,0,0.002584,18,1,0.033333,0.251529,3,3,6
92,Green + Plymouth,-83.69294,42.305435,4,2,6,65,0.028983,0.044179,10274,0,81,0,0,0.00271,11,3,0.033333,0.400955,4,2,6
93,Green Rd. + Midwest Credit Unio,-83.692719,42.30859,1,1,2,65,0.028948,0.041231,1193,0,81,0,0,0.001327,11,3,0,0.247572,1,1,2
94,Green + Post Office,-83.692772,42.310211,2,1,3,64,0.029807,0.044089,3935,0,81,0,0,0.001572,11,3,0,0.306162,2,1,3
95,Green + Burbank,-83.692795,42.312168,2,3,5,65,0.028997,0.04363,2076,0,81,0,0,0.000948,11,3,0.333333,0.248187,2,3,5
96,Nixon + Bluett,-83.707603,42.309765,1,1,2,61,0.032583,0.049122,14179,0,81,0,0,0.000746,11,3,0,0.082134,1,1,2
97,Geddes + CCTC,-83.735283,42.278061,5,6,11,50,0.048502,0.09207,179102.833333,0,81,0.096857,0.878928,0.002386,15,5,0.018182,0.466796,5,6,11
98,Jackson + Parklake,-83.792953,42.284115,1,1,2,83,0.022337,0.030357,12504,0,81,0,0,0.000908,18,1,0,0.176452,1,1,2
99,Wagner + Dexter,-83.799606,42.290745,1,1,2,85,0.021503,0.032514,209,0,81,0,0,0.000842,18,1,0,0.11377,1,1,2
100,Dexter + Maple,-83.78112,42.285748,1,1,2,87,0.020651,0.029165,3140,0,81,0,0,0.000563,18,1,0,0.042861,1,1,2
101,YTC - Stop 1,-83.614845,42.242317,0,2,2,75,0.030484,0.051982,0,0,104,0,0,0.000176,21,0,0,0,0,2,2
102,Bonisteel + Beal,-83.713821,42.290234,2,1,3,57,0.036582,0.05228,20936.5,0,81,0,0,0.001523,2,4,0,0.192421,2,1,3
103,YTC - Stop 5,-83.615669,42.242302,0,2,2,75,0.029053,0.0483,0,0,105,0,0,0.000176,21,0,0,0,0,2,2
105,Golfside + Bynan,-83.661324,42.257755,1,2,3,70,0.029449,0.043966,8638,0,94,0,0,0.001048,3,4,0,0.053328,1,2,3
106,Golfside + Twin Lakes,-83.661179,42.252941,1,1,2,71,0.029119,0.041427,8846,0,81,0,0,0.001354,3,0,0,0.095082,1,1,2
107,Golfside + Washtenaw,-83.661095,42.251568,2,2,4,70,0.029988,0.044722,11851,0,81,0,0,0.001707,3,0,0,0.122979,2,2,4
108,YTC - Stop 4,-83.615456,42.242298,0,2,2,50,0.040966,0.077164,0,0,107,0,0,0.000176,4,0,0,0,0,2,2
109,Huron River + Cornell,-83.633667,42.256596,1,1,2,74,0.024955,0.032851,8116,0,97,0,0,0.000525,22,4,0,0.076867,1,1,2
110,Huron River Dr + Leforge,-83.623268,42.254574,1,1,2,77,0.023475,0.032374,6,0,98,0,0,0.000525,22,4,0.5,0.076867,1,1,2
111,Huron River + Oakwood,-83.628899,42.255867,1,2,3,75,0.024615,0.035516,7476,0,98,0,0,0.000823,22,4,0.166667,0.105932,1,2,3
115,YTC - Stop 6,-83.615868,42.24231,0,1,1,59,0.040176,0.069309,0,0,108,0,0,0.000176,21,0,0,0,0,1,1
116,Nixon + Plymouth,-83.707397,42.303745,4,4,8,59,0.034829,0.060334,64188.833333,0,81,0,0,0.00372,11,3,0,0.216464,4,4,8
117,Adams + Forest,-83.616058,42.248566,1,1,2,82,0.021201,0.029514,829.5,0,101,0,0,0.000421,22,0,0,0.053663,1,1,2
118,BTC Mall Stop 6,-83.747017,42.278374,0,1,1,59,0.037941,0.052741,0,0,113,0,0,0.000176,7,6,0,0,0,1,1
119,First + Michigan,-83.625771,42.236202,2,2,4,49,0.04372,0.078834,2724,0,48,0,0,0.001624,4,0,0,0.085493,2,2,4
120,McAuley + Huron River,-83.64975,42.260132,1,1,2,71,0.026888,0.036972,10731,0,95,0,0,0.001511,22,4,0,0.096069,1,1,2
121,Elliott + McAuley,-83.657928,42.264698,1,1,2,69,0.028394,0.040188,12660,0,95,0,0,0.001019,22,4,0,0.096025,1,1,2
122,BTC Mall Stop 5,-83.747124,42.278374,0,1,1,59,0.037941,0.052741,0,0,114,0,0,0.000176,7,6,0,0,0,1,1
123,Ellsworth Rd. + Stone Sch,-83.718864,42.229897,1,2,3,79,0.025769,0.045604,17273,0,81,0,0,0.000588,7,6,0.166667,0.106445,1,2,3
124,Elliot + St Joe Dialysis,-83.65802,42.264751,1,1,2,71,0.026888,0.036972,9,0,95,0,0,0.000618,22,4,0,0.057469,1,1,2
127,Main + HarborWay,-83.749283,42.247807,1,1,2,76,0.025969,0.036735,879,0,81,0,0,0.000799,1,2,0,0.121763,1,1,2
130,Summit + Daniel,-83.750763,42.289062,1,2,3,54,0.039059,0.057162,14951,0,81,0,0,0.000672,12,3,0.166667,0.07278,1,2,3
131,Holyoke + 2752 Holyoke,-83.76741,42.31477,1,1,2,8,0.214286,0.310615,2596,0,69,0,0,0.001232,13,3,0,0.044733,1,1,2
132,Brooks + Summit,-83.758217,42.289497,1,1,2,17,0.109948,0.187853,35,0,70,0,0,0.000981,13,3,0,0.069569,1,1,2
133,Miller + Newport Pl.,-83.765244,42.28867,1,1,2,57,0.037075,0.047238,32989.666667,0,81,0,0,0.000836,12,1,0,0.049999,1,1,2
134,Green + Whisperwood,-83.70269,42.316578,1,2,3,66,0.028379,0.044398,5190.333333,0,81,0,0,0.000746,11,3,0,0.082134,1,2,3
135,BTC Mall Stop 7,-83.746346,42.27837,0,2,2,80,0.027324,0.044852,0,0,123,0,0,0.000176,16,2,0,0,0,2,2
136,N - Jefferson east of Brooks,-83.62175,42.228905,1,1,2,53,0.038029,0.060256,829,0,52,0,0,0.000649,4,0,0,0.043518,1,1,2
137,MacArthur + Stamford,-83.58651,42.268421,1,1,2,35,0.044444,0.070964,624,0,13,0,0,0.000886,24,0,0,0.042749,1,1,2
139,Plymouth + Green,-83.693634,42.304932,2,2,4,62,0.031653,0.049676,14404.5,0,81,0,0,0.001259,11,3,0,0.230484,2,2,4
140,Congress + Ballard,-83.619652,42.241005,1,1,2,2,0.666667,0.75,780,0,26,0,0,0.001133,21,0,0,0.042745,1,1,2
141,Carpenter + Washtenaw,-83.680817,42.252987,1,2,3,70,0.030815,0.048177,32154.5,0,81,0,0,0.001146,3,0,0,0.152632,1,2,3
142,Carpenter + Central,-83.680687,42.249119,1,1,2,41,0.048938,0.085863,27420.5,0,68,0,0,0.000663,3,0,0,0.092754,1,1,2
143,Carpenter + Packard,-83.680611,42.246555,1,1,2,40,0.050779,0.089214,26871.5,0,67,0,0,0.000739,9,0,0,0.062986,1,1,2
145,BTC - Fourth Ave Stop 4,-83.74733,42.279446,0,2,2,50,0.052542,0.078463,0,0,125,0,0,0.000176,12,1,0,0,0,2,2
147,Michigan + Hamilton,-83.618332,42.240906,1,1,2,1,1,1,76,0,25,0,0,0.001139,21,0,0,0.042745,1,1,2
154,BTC - Fourth Ave Stop 3,-83.747345,42.279106,0,1,1,73,0.028145,0.037248,0,0,126,0,0,0.000176,12,1,0,0,0,1,1
156,MacArthur + Harris,-83.582909,42.270115,1,1,2,34,0.046046,0.072407,691,0,13,0,0,0.000928,24,0,0,0.042745,1,1,2
